id,longitud,latitud,año,areacd,ticket
1549431,-77.00464782,-12.12475564,2023,150122,233.70816988114413
1066196,-77.02665094,-12.11820705,2022,150122,119.2401624237054
623598,-77.03008821,-12.12570183,2021,150122,138.0770535302245
301990,-77.02838302,-12.11444401,2020,150122,178.16013070089016
1179904,-77.03644922,-12.11003907,2022,150122,200.2662433951592
1575712,-76.73818531,-12.51966974,2023,150122,51.20147231099658
1319514,-77.01136247,-12.11667241,2022,150122,171.3106409426931
1040721,-77.01868214,-12.13027266,2022,150122,118.33712698864579
645708,-77.03667,-12.11254,2021,150122,144.58745579944875
1609311,-77.02700071,-12.12442797,2023,150122,251.50316483202332
1181105,-77.03230728,-12.12335215,2022,150122,233.95804702662846
230399,-77.0087932,-12.1243222,2019,150122,171.37206082306443
1110044,-77.02803626,-12.11137926,2022,150122,159.07739097520135
453216,-77.0275082,-12.1276997,2020,150122,110.58344126339534
1571852,-77.02185192,-12.13153603,2023,150122,132.13286462308992
1293812,-77.01609887,-12.1195657,2022,150122,88.04779240105275
1573295,-77.01111189,-12.1184211,2023,150122,251.07744902928118
1486490,-77.04130204,-12.11997318,2022,150122,103.99794797991986
1578211,-77.02682148,-12.12017743,2023,150122,41.033169515341825
1093573,-77.0298142,-12.12793316,2022,150122,77.11366350482056
1623646,-77.03451266,-12.12014753,2023,150122,149.14508183403473
48524,-77.0284139,-12.1126376,2018,150122,170.5812180279252
1229261,-77.0349692,-12.11889791,2022,150122,88.70641228307656
483688,-77.02236815,-12.12223723,2020,150122,142.21705333261534
1062932,-77.03667,-12.11254,2022,150122,50.213646873596815
953644,-77.0347622,-12.1201859,2021,150122,108.02435295871915
840455,-77.0263996,-12.11173736,2021,150122,140.3972887616399
1679478,-79.84263865,-6.7830691,2023,150122,170.15190890374612
1481802,-77.02879051,-12.12141471,2022,150122,95.59613992511677
546087,-77.02686877,-12.10883217,2020,150122,61.5649181256052
123235,-77.0217258,-12.1197553,2017,150122,87.56560551490924
1223319,-77.01387831,-12.11948976,2022,150122,195.48837524112054
672298,-77.01733299,-12.1225042,2021,150122,39.24766181081108
1148433,-77.03221542,-12.12118816,2022,150122,120.8699093043387
590914,-77.02708718,-12.1137246,2020,150122,207.050773123043
82585,-77.0163103,-12.1216335,2018,150122,33.29640253200752
1391578,-77.0323061,-12.1145047,2022,150122,205.2344584417825
1526581,-79.83540546,-6.78924083,2023,150122,30.32568998693358
1579219,-77.0189901,-12.12028589,2023,150122,101.63332593448789
521382,-77.02958009,-12.11924439,2020,150122,114.16723060211238
333495,-77.01073587,-12.11726444,2020,150122,138.76239996986868
1012688,-77.05088651,-12.11088272,2022,150122,96.91284571519599
1146937,-77.03549073,-12.12028668,2022,150122,215.1223585628883
1453917,-77.0338049,-12.10899683,2022,150122,109.31628090581653
1271197,-77.03068103,-12.11172191,2022,150122,119.65339653756537
1100995,-77.03573527,-12.12592831,2022,150122,95.42519117709868
623615,-77.0100427,-12.1227265,2021,150122,179.79127969564342
420030,-77.03235857,-12.118864,2020,150122,59.79872476355221
953629,-77.02877714,-12.10864869,2021,150122,244.03619681110143
692846,-77.03190107,-12.12575616,2021,150122,122.43274257847476
204644,-77.0371182,-12.11579253,2019,150122,135.33687182226873
109367,-77.0285769,-12.1041489,2017,150122,129.2002706440739
1424054,-77.01111189,-12.1184211,2022,150122,204.45566566962822
230392,-77.00585,-12.1222629,2019,150122,198.4846284634337
1536073,-77.01117708,-12.11638527,2023,150122,19.68335739576869
1290163,-77.02298839,-12.12037238,2022,150122,259.3693777420419
160717,-77.030768,-12.1220124,2017,150122,175.94623472534164
1373184,-77.0171203,-12.12307623,2022,150122,61.694493480059116
1485442,-77.03553037,-12.12130256,2022,150122,89.60275604881897
764525,-77.01090041,-12.12723401,2021,150122,34.26653458438688
991620,-77.0300805,-12.10934145,2021,150122,156.57616167310053
1256330,-77.01073587,-12.11726444,2022,150122,129.72789126120918
