incident_id,longitud,latitud,año,areacd,areacd_recalculated,ticket
1627637,-77.02603091,-12.13310707,2023,150605,150122,144.2007802788531
743369,-77.02414452,-12.11005958,2021,150141,150122,83.03203401368027
1357428,-77.03130155,-12.12268061,2022,150122,150122,213.729591430698
830077,-77.0234915,-12.1112148,2021,150141,150122,207.08016973708507
1573936,-77.0170597,-12.11523985,2023,150141,150122,158.1931928120433
1539871,-77.03345566,-12.11923644,2023,150122,150122,51.05244477186638
1332148,-77.03482295,-12.11759728,2022,150122,150122,29.792656341501065
1240458,-77.02925432,-12.11089765,2022,150122,150122,228.8130754314312
1580028,-77.03154674,-12.12441128,2023,150122,150122,242.19196131300077
521408,-77.02888288,-12.11852666,2020,150122,150122,99.91693961876283
996396,-77.02285294,-12.11743847,2021,150141,150122,36.75878948796997
1620662,-77.02047417,-12.12487996,2023,150122,150122,133.94523759109777
245960,-77.0371182,-12.11579253,2019,150122,150122,101.39779958043691
1494950,-77.03584374,-12.12568376,2022,150122,150122,99.83136014004415
395620,-77.02959179,-12.11617564,2020,150122,150122,131.10775162263602
18822,-77.0184283,-12.1130294,2018,150141,150122,159.2378678957814
695516,-77.04436728,-12.10943053,2021,150131,150122,6.625198358079957
1481778,-77.02782934,-12.10457435,2022,150122,150122,63.866170909323436
1181161,-77.02863743,-12.1199237,2022,150122,150122,147.30015096050744
693200,-77.02526607,-12.13333763,2021,150122,150122,155.86861194493298
420679,-77.010108,-12.12729764,2020,150122,150122,222.62485062375296
48732,-77.0234246,-12.1111636,2018,150141,150122,175.2626740372146
1587881,-77.0281737,-12.129258,2023,150122,150122,151.708141590341
616025,-77.03282485,-12.12682848,2021,150122,150122,98.47325069798963
641173,-77.02727369,-12.13088302,2021,150122,150122,173.02362665611565
814878,-77.02901687,-12.13156108,2021,150122,150122,83.63618074394502
1121231,-77.01446667,-12.12299186,2022,150122,150122,61.06457473859348
699670,-77.02485725,-12.10890798,2021,150141,150122,197.65204436620272
1645062,-77.02987797,-12.1169063,2023,150122,150122,28.158032688409776
909954,-77.03467983,-12.11850714,2021,150122,150122,118.80248848032109
425401,-77.02297558,-12.10748458,2020,150141,150122,126.25565006648877
1349510,-77.03044787,-12.11098666,2022,150122,150122,150.2395636084141
1525890,-77.02235411,-12.1274238,2023,150122,150122,149.15800674189117
1581598,-77.0190228,-12.1157347,2023,150106,150122,163.5712983470785
1428031,-77.02351934,-12.11009831,2022,150141,150122,132.28565692066624
950097,-77.03413142,-12.12902856,2021,150122,150122,127.1785799269277
1628909,-77.023846,-12.1291357,2023,150122,150122,3.5953118359063105
16603,-77.0238866,-12.1166265,2018,150141,150122,68.73907377321972
991596,-77.02897308,-12.13595261,2021,150122,150122,172.1133637437563
884623,-77.04087403,-12.11829878,2021,150122,150122,141.54022405683412
1169572,-77.01974915,-12.11560962,2022,150141,150122,209.86408673074507
1282165,-77.03348148,-12.11920633,2022,150122,150122,15.107096457759043
691279,-77.04238519,-12.11792356,2021,150122,150122,40.007353567789565
1053686,-77.04247667,-12.11570606,2022,150122,150122,107.67966731675027
35257,-77.020199,-12.1254395,2018,150122,150122,80.91507919348278
1623692,-77.02146494,-12.12599077,2023,150122,150122,93.05389001322123
1157980,-77.0312728,-12.11923031,2022,150122,150122,106.94281289507754
160665,-77.0432768,-12.1180602,2017,150122,150122,3.4392862646956495
792120,-77.0186173,-12.11160326,2021,150141,150122,165.1810787481323
1413777,-77.03667,-12.11254,2022,150122,150122,104.00852329704283
1578863,-77.02969981,-12.12510969,2023,150122,150122,206.70529949391744
695390,-77.03605451,-12.12492456,2021,150122,150122,108.0896935799463
1325919,-77.03451266,-12.12014753,2022,150122,150122,0.7344018305524611
395619,-77.04178265,-12.1205372,2020,150122,150122,268.102856539565
